Type,Price,Time,Reason,Profit
Buy,67666.54,2024-05-29 14:15:00,,0.0
Sell,71208.25,2024-06-05 04:30:00,TP/SL,3541.7100000000064
Buy,67360.0,2024-06-11 08:00:00,,-3848.25
Sell,65851.41,2024-06-14 16:00:00,TP/SL,-1508.5899999999965
Buy,60843.99,2024-06-24 15:45:00,,-5007.4200000000055
Sell,59306.72,2024-06-24 19:45:00,TP/SL,-1537.2699999999968
Buy,58444.09,2024-07-04 07:15:00,,-862.6300000000047
Sell,57247.98,2024-07-04 12:45:00,TP/SL,-1196.1099999999933
Buy,53907.6,2024-07-05 09:00:00,,-3340.3800000000047
Sell,56662.0,2024-07-05 15:45:00,TP/SL,2754.4000000000015
Buy,66725.99,2024-07-29 23:00:00,,10063.990000000005
Sell,65256.83,2024-07-31 19:45:00,TP/SL,-1469.1600000000035
Buy,64202.0,2024-08-01 01:45:00,,-1054.8300000000017
Sell,62906.6,2024-08-01 15:45:00,TP/SL,-1295.4000000000015
Buy,52718.0,2024-08-05 05:45:00,,-10188.599999999999
Sell,51606.13,2024-08-05 06:00:00,TP/SL,-1111.8700000000026
Buy,58716.0,2024-08-14 19:00:00,,7109.870000000003
Sell,57214.09,2024-08-15 19:00:00,TP/SL,-1501.9100000000035
Buy,59006.42,2024-08-28 07:15:00,,1792.3300000000017
Sell,57519.74,2024-09-01 14:00:00,TP/SL,-1486.6800000000003
Buy,56252.01,2024-09-04 05:45:00,,-1267.729999999996
Sell,55104.02,2024-09-06 14:00:00,TP/SL,-1147.9900000000052
Buy,52887.99,2024-09-06 20:45:00,,-2216.029999999999
Sell,55686.92,2024-09-09 13:45:00,TP/SL,2798.9300000000003
Buy,63495.96,2024-09-25 13:00:00,,7809.040000000001
Sell,62166.02,2024-10-01 15:00:00,TP/SL,-1329.9400000000023
Buy,66917.55,2024-10-23 06:45:00,,4751.530000000006
Sell,65535.48,2024-10-23 18:00:00,TP/SL,-1382.0699999999997
Buy,70092.07,2024-10-31 19:45:00,,4556.590000000004
Sell,68686.0,2024-11-03 02:00:00,TP/SL,-1406.070000000007
Buy,68248.0,2024-11-03 09:30:00,,-438.0
Sell,72396.7,2024-11-06 02:15:00,TP/SL,4148.699999999997
