Type,Price,Time,Reason,Profit
Buy,0.16008,2024-06-07 01:30:00,,0.0
Sell,0.14218,2024-06-07 18:00:00,TP/SL,-0.0179
Buy,0.14757,2024-06-08 06:00:00,,0.005390000000000006
Sell,0.14192,2024-06-11 01:45:00,TP/SL,-0.005650000000000016
Buy,0.12111,2024-06-18 10:00:00,,-0.020809999999999995
Sell,0.12826,2024-06-20 11:00:00,TP/SL,0.0071500000000000175
Buy,0.12091,2024-07-03 10:00:00,,-0.007350000000000009
Sell,0.11713,2024-07-03 20:45:00,TP/SL,-0.0037800000000000056
Buy,0.10997,2024-07-04 12:15:00,,-0.00716
Sell,0.10577,2024-07-04 13:15:00,TP/SL,-0.004199999999999995
Buy,0.12808,2024-07-29 21:15:00,,0.022309999999999997
Sell,0.12413,2024-07-30 20:00:00,TP/SL,-0.003949999999999995
Buy,0.12097,2024-08-01 02:15:00,,-0.00316000000000001
Sell,0.11673,2024-08-01 14:45:00,TP/SL,-0.004239999999999994
Buy,0.111,2024-08-02 21:00:00,,-0.005729999999999999
Sell,0.10711,2024-08-03 17:45:00,TP/SL,-0.0038900000000000046
Buy,0.08862,2024-08-05 06:00:00,,-0.018489999999999993
Sell,0.08377,2024-08-05 06:15:00,TP/SL,-0.004850000000000007
Buy,0.10397,2024-08-11 19:00:00,,0.02020000000000001
Sell,0.10078,2024-08-11 22:00:00,TP/SL,-0.0031900000000000123
Buy,0.10219,2024-08-14 21:45:00,,0.0014100000000000085
Sell,0.0987,2024-08-15 18:15:00,TP/SL,-0.003490000000000007
Buy,0.10001,2024-08-19 06:00:00,,0.0013100000000000056
Sell,0.10512,2024-08-20 05:15:00,TP/SL,0.005110000000000003
Buy,0.10612,2024-08-26 17:30:00,,0.0010000000000000009
Sell,0.10217,2024-08-27 21:00:00,TP/SL,-0.003950000000000009
Buy,0.09865,2024-08-28 07:30:00,,-0.0035199999999999954
Sell,0.09522,2024-09-01 22:30:00,TP/SL,-0.0034300000000000025
Buy,0.09435,2024-09-02 04:30:00,,-0.0008699999999999958
Sell,0.09925,2024-09-02 20:45:00,TP/SL,0.004900000000000002
Buy,0.09599,2024-09-06 13:30:00,,-0.003259999999999999
Sell,0.09291,2024-09-06 16:00:00,TP/SL,-0.0030799999999999994
Buy,0.08947,2024-09-06 20:45:00,,-0.0034400000000000125
Sell,0.09413,2024-09-07 07:15:00,TP/SL,0.004660000000000011
Buy,0.10748,2024-09-22 09:15:00,,0.01335
Sell,0.11309,2024-09-26 06:30:00,TP/SL,0.00560999999999999
Buy,0.12582,2024-09-29 12:45:00,,0.012729999999999991
Sell,0.12199,2024-09-30 02:15:00,TP/SL,-0.003829999999999986
Buy,0.10702,2024-10-08 12:30:00,,-0.014969999999999997
Sell,0.10375,2024-10-10 18:00:00,TP/SL,-0.003270000000000009
Buy,0.12117,2024-10-17 13:45:00,,0.017420000000000005
Sell,0.12815,2024-10-17 20:15:00,TP/SL,0.006979999999999986
Buy,0.19077,2024-11-07 11:45:00,,0.06262000000000001
Sell,0.20065,2024-11-08 06:45:00,TP/SL,0.00988
