Type,Price,Time,Reason,Profit
Buy,167.62,2024-05-29 16:00:00,,0.0
Sell,163.57,2024-05-30 08:00:00,TP/SL,-4.050000000000011
Buy,165.76,2024-06-02 07:00:00,,2.1899999999999977
Sell,162.25,2024-06-02 17:45:00,TP/SL,-3.509999999999991
Buy,169.82,2024-06-07 01:15:00,,7.569999999999993
Sell,165.36,2024-06-07 17:45:00,TP/SL,-4.4599999999999795
Buy,149.41,2024-06-13 14:00:00,,-15.950000000000017
Sell,146.33,2024-06-13 21:15:00,TP/SL,-3.079999999999984
Buy,144.49,2024-06-28 12:45:00,,-1.8400000000000034
Sell,141.59,2024-06-28 14:30:00,TP/SL,-2.9000000000000057
Buy,141.08,2024-07-03 19:00:00,,-0.5099999999999909
Sell,136.05,2024-07-04 01:30:00,TP/SL,-5.030000000000001
Buy,133.25,2024-07-04 10:00:00,,-2.8000000000000114
Sell,130.5,2024-07-04 13:15:00,TP/SL,-2.75
Buy,135.27,2024-07-12 01:00:00,,4.77000000000001
Sell,142.2,2024-07-13 22:45:00,TP/SL,6.929999999999978
Buy,155.21,2024-07-17 21:00:00,,13.01000000000002
Sell,165.22,2024-07-19 06:00:00,TP/SL,10.009999999999991
Buy,168.9,2024-07-25 10:00:00,,3.680000000000007
Sell,177.6,2024-07-26 05:15:00,TP/SL,8.699999999999989
Buy,184.65,2024-07-29 21:00:00,,7.050000000000011
Sell,180.41,2024-07-30 01:45:00,TP/SL,-4.240000000000009
Buy,169.63,2024-08-01 02:15:00,,-10.780000000000001
Sell,164.89,2024-08-01 14:45:00,TP/SL,-4.740000000000009
Buy,146.51,2024-08-11 19:00:00,,-18.379999999999995
Sell,143.48,2024-08-11 21:15:00,TP/SL,-3.030000000000001
Buy,143.08,2024-08-14 22:00:00,,-0.39999999999997726
Sell,139.66,2024-08-15 18:00:00,TP/SL,-3.420000000000016
Buy,145.42,2024-10-01 19:45:00,,5.759999999999991
Sell,142.26,2024-10-02 18:45:00,TP/SL,-3.1599999999999966
Buy,153.7,2024-10-15 11:00:00,,11.439999999999998
Sell,149.9,2024-10-17 17:15:00,TP/SL,-3.799999999999983
Buy,165.99,2024-10-25 22:15:00,,16.090000000000003
Sell,161.33,2024-10-25 23:00:00,TP/SL,-4.659999999999997
Buy,173.91,2024-10-30 15:00:00,,12.579999999999984
Sell,170.25,2024-10-31 14:30:00,TP/SL,-3.6599999999999966
Buy,167.95,2024-10-31 22:00:00,,-2.3000000000000114
Sell,164.09,2024-11-01 15:45:00,TP/SL,-3.859999999999985
Buy,207.79,2024-11-15 04:00:00,,43.69999999999999
Sell,218.4,2024-11-15 21:15:00,TP/SL,10.610000000000014
