Type,Price,Time,Reason,Profit
Buy,0.4845,2024-06-11 06:45:00,,0.0
Sell,0.473,2024-06-11 15:30:00,TP/SL,-0.01150000000000001
Buy,0.4898,2024-06-20 21:30:00,,0.016800000000000037
Sell,0.4842,2024-06-21 15:30:00,TP/SL,-0.005599999999999994
Buy,0.4387,2024-07-04 18:00:00,,-0.04550000000000004
Sell,0.4341,2024-07-04 23:30:00,TP/SL,-0.004599999999999993
Buy,0.4608,2024-08-05 06:00:00,,0.0267
Sell,0.4446,2024-08-05 06:15:00,TP/SL,-0.016199999999999992
Buy,0.565,2024-08-11 19:00:00,,0.12039999999999995
Sell,0.5593,2024-08-11 19:45:00,TP/SL,-0.005699999999999927
Buy,0.5452,2024-09-02 04:45:00,,-0.014100000000000001
Sell,0.5568,2024-09-02 10:15:00,TP/SL,0.011599999999999944
Buy,0.5301,2024-10-13 14:30:00,,-0.026699999999999946
Sell,0.5411,2024-10-14 09:30:00,TP/SL,0.01100000000000001
Buy,0.5119,2024-10-25 22:45:00,,-0.029200000000000004
Sell,0.5004,2024-10-25 23:00:00,TP/SL,-0.011500000000000066
